City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
192,imperatriz,-5.5264,-47.4917,36.03000000000003,41,0,3.09,BR,1722798164
193,lubao,14.9167,120.55,26.04000000000002,89,98,1.17,PH,1722798166
194,newman,37.3138,-121.0208,34.47000000000003,21,0,1.37,US,1722798167
195,san ignacio,17.1561,-89.0714,33.08000000000004,62,40,2.06,BZ,1722798168
196,mbandaka,0.0487,18.2603,21.150000000000034,97,95,1.61,CD,1722798169
197,utrik,11.2278,169.8474,28.350000000000023,77,76,6.08,MH,1722798170
198,baoding,38.8511,115.4903,22.04000000000002,87,18,2.77,CN,1722798172
199,fisterra,42.9049,-9.2629,25.57000000000005,87,0,7.7,ES,1722797896
200,cascais,38.6979,-9.4215,27.640000000000043,65,20,9.26,PT,1722798174
201,talnakh,69.4865,88.3972,8.57000000000005,70,0,5.64,RU,1722798175
202,ta'if,21.2703,40.4158,26.560000000000002,51,73,3.12,SA,1722798076
203,laguna,38.421,-121.4238,35.52000000000004,38,0,3.6,US,1722798057
204,chishmy,54.5765,55.3764,18.129999999999995,84,100,3.06,RU,1722798179
205,remire-montjoly,4.9167,-52.2667,31.02000000000004,70,75,3.09,GF,1722798180
206,bielsk podlaski,52.7651,23.1865,22.230000000000018,51,100,2.92,PL,1722798181
207,ceeldheer,3.8488,47.1806,24.220000000000027,80,66,9.55,SO,1722798184
208,andover,51.2083,-1.4825,20.03000000000003,67,100,6.17,GB,1722798060
209,avarua,-21.2078,-159.775,24.03000000000003,69,13,3.09,CK,1722798186
210,muang phon-hong,18.4928,102.4172,23.379999999999995,98,100,1.32,LA,1722798187
211,tual,-5.6667,132.75,25.170000000000016,84,70,8.64,ID,1722798188
212,georgetown,5.4112,100.3354,27.960000000000036,83,20,2.24,MY,1722798068
213,algona,43.07,-94.233,29.53000000000003,89,100,4.12,US,1722798191
214,sabang,5.8933,95.3214,28.870000000000005,77,100,7.51,ID,1722798192
215,ak'ordat,15.5486,37.8867,24.400000000000034,77,100,4.46,ER,1722798193
216,pizarro,4.9533,-77.366,27.590000000000032,79,100,3.91,CO,1722798194
217,bahir dar,11.5936,37.3908,17.360000000000014,92,100,2.31,ET,1722798114
218,hithadhoo,-0.6,73.0833,28.689999999999998,75,100,4.92,MV,1722798196
219,dickson,36.077,-87.3878,33.79000000000002,53,0,0.0,US,1722798198
220,lakatoro,-16.0999,167.4164,19.720000000000027,72,3,4.19,VU,1722798199
221,bengkulu,-3.8004,102.2655,24.55000000000001,92,100,4.69,ID,1722798171
222,lefkada,38.8275,20.7019,27.950000000000045,74,20,4.63,GR,1722798201
223,belyy yar,53.6039,91.3903,18.939999999999998,77,0,3.0,RU,1722798202
224,honiara,-9.4333,159.95,25.090000000000032,94,100,0.94,SB,1722798204
225,kongoussi,13.3258,-1.5347,25.390000000000043,77,100,3.53,BF,1722798205
226,kolyshley,52.7005,44.5367,15.680000000000007,95,100,1.27,RU,1722798206
227,vila do maio,15.1333,-23.2167,28.439999999999998,86,83,5.46,CV,1722798207
228,severo-yeniseyskiy,60.3725,93.0408,11.850000000000023,69,49,1.88,RU,1722798090
229,weno,7.4515,151.8468,28.560000000000002,76,12,4.12,FM,1722798209
230,dobryanka,58.4619,56.4165,14.629999999999995,97,62,1.82,RU,1722798211
231,rio gallegos,-51.6226,-69.2181,2.0300000000000296,64,40,5.14,AR,1722798079
232,itoman,26.1247,127.6694,29.110000000000014,91,0,4.63,JP,1722798213
233,vorgashor,67.5833,63.95,9.28000000000003,62,100,5.89,RU,1722798214
234,vernon,50.2581,-119.2691,31.83000000000004,34,100,1.54,CA,1722798217
235,farkhar,36.5729,69.8578,21.55000000000001,32,0,0.9,AF,1722798218
236,wenchang,30.904,118.4887,27.210000000000036,80,100,1.91,CN,1722798219
237,kalmunai,7.4167,81.8167,25.480000000000018,86,19,5.29,LK,1722798220
238,kalymnos,36.95,26.9833,28.74000000000001,65,0,2.57,GR,1722798221
239,fale old settlement,-9.3852,-171.2468,27.58000000000004,82,94,7.05,TK,1722798222
240,micheweni,-4.9667,39.8333,24.29000000000002,75,2,6.2,TZ,1722798224
241,iskateley,67.6803,53.1512,8.350000000000023,76,100,6.76,RU,1722798225
242,ad dabbah,18.05,30.95,35.05000000000001,40,22,5.21,SD,1722798226
243,grand falls-windsor,48.9332,-55.6649,25.840000000000032,81,92,0.45,CA,1722798227
244,coahuayana de hidalgo,18.7,-103.6583,31.930000000000007,61,80,2.79,MX,1722798228
245,ribeira grande,38.5167,-28.7,27.220000000000027,78,40,4.12,PT,1722798217
246,porto novo,6.4965,2.6036,25.900000000000034,77,100,3.45,BJ,1722798231
247,new norfolk,-42.7826,147.0587,8.840000000000032,86,83,1.4,AU,1722798232
248,buka,40.8108,69.1986,24.980000000000018,22,53,0.23,UZ,1722798233
249,maholi,27.6667,80.4667,27.79000000000002,80,99,5.5,IN,1722798234
250,selkirk,50.1436,-96.8845,21.150000000000034,53,84,1.34,CA,1722798236
251,effingham,32.3669,-81.3332,29.970000000000027,82,100,3.48,US,1722798237
252,mili,6.0815,171.735,28.629999999999995,77,55,5.56,MH,1722798238
253,dompu,-8.5356,118.4622,20.560000000000002,97,100,1.06,ID,1722798239
254,san jose de jachal,-30.2406,-68.7469,20.129999999999995,8,0,3.97,AR,1722798051
255,haiku-pauwela,20.9219,-156.3051,25.140000000000043,80,40,7.2,US,1722798242
256,lebu,-37.6167,-73.65,10.520000000000039,90,100,11.15,CL,1722798243
257,zvezdnyy,57.7325,56.3147,16.33000000000004,95,23,2.67,RU,1722798244
258,iitti,60.8949,26.3387,17.220000000000027,99,81,1.12,FI,1722798245
259,katsuura,35.1333,140.3,24.27000000000004,90,70,1.43,JP,1722798246
260,puerto carreno,6.189,-67.4859,26.99000000000001,83,40,3.6,CO,1722798247
261,uvira,-3.4067,29.1458,24.560000000000002,59,1,1.37,CD,1722798249
262,chonchi,-42.6128,-73.8092,9.560000000000002,98,100,1.52,CL,1722798250
263,zouerate,22.7187,-12.4521,38.110000000000014,25,9,4.51,MR,1722798251
264,rawson,-43.3002,-65.1023,14.510000000000048,39,90,4.04,AR,1722798252
265,callao,-12.0667,-77.15,19.160000000000025,68,75,5.14,PE,1722798253
266,petropavlovsk-kamchatsky,53.0452,158.6483,8.330000000000041,100,20,2.0,RU,1722798255
267,rongelap,11.1635,166.8941,28.379999999999995,78,77,4.2,MH,1722798160
268,myeik,12.4333,98.6,26.350000000000023,84,100,0.93,MM,1722798257
269,cidreira,-30.1811,-50.2056,16.129999999999995,98,100,2.48,BR,1722798092
270,leua,48.2156,18.6071,17.720000000000027,86,81,1.13,SK,1722798259
271,zhangjiakou shi xuanhua qu,40.6103,115.0447,21.220000000000027,70,0,1.87,CN,1722798260
272,sandnessjoen,66.0217,12.6316,22.29000000000002,56,20,1.54,NO,1722798262
273,quepos,9.4236,-84.1652,28.220000000000027,77,92,2.55,CR,1722798263
274,la tuque,47.4334,-72.7824,26.140000000000043,47,100,3.09,CA,1722798264
275,mount isa,-20.7333,139.5,9.870000000000005,87,2,0.0,AU,1722798265
276,lino lakes,45.1602,-93.0888,27.980000000000018,71,40,3.09,US,1722798001
277,plettenberg bay,-34.0527,23.3716,11.379999999999995,65,100,7.46,ZA,1722798267
278,minab,27.1467,57.0801,32.160000000000025,73,76,2.78,IR,1722798269
279,seward,40.907,-97.0989,36.110000000000014,56,100,1.34,US,1722798270
